epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,192.843,1.27625,4.09091,1.24349,0,0,0,0,1.119,4.09201,1.01863,0.00013344,0.00013344,0.00013344
2,375.989,1.0794,3.65487,1.08396,0.07979,0.66437,0.15688,0.10593,1.07812,3.78013,0.96785,0.000258954,0.000258954,0.000258954
3,560.715,1.08748,3.26653,1.06867,0.06168,0.73011,0.24017,0.16529,1.11516,3.63962,1.00153,0.000370707,0.000370707,0.000370707
4,744.011,1.08354,2.82821,1.08082,0.99292,0.20834,0.44443,0.30211,1.07634,3.14313,0.98549,0.0004687,0.0004687,0.0004687
5,928.364,1.07619,2.43524,1.09594,0.75715,0.29117,0.53383,0.36896,1.12141,2.79231,1.01357,0.000445912,0.000445912,0.000445912
6,1112.74,1.07788,2.10128,1.09834,0.95412,0.32228,0.53904,0.36951,1.13637,2.53427,1.0346,0.00041839,0.00041839,0.00041839
7,1296.46,1.05928,1.87143,1.0932,0.82528,0.48176,0.56912,0.39157,1.22013,2.00814,1.06932,0.000390868,0.000390868,0.000390868
8,1479.58,1.05543,1.58408,1.10892,0.67387,0.64953,0.64128,0.43477,1.14202,1.78922,1.05724,0.000363346,0.000363346,0.000363346
9,1664.31,1.04145,1.43211,1.09128,0.74466,0.66244,0.69107,0.4747,1.08523,1.65153,1.06548,0.000335824,0.000335824,0.000335824
10,1846.84,1.00152,1.28654,1.09056,0.86775,0.63654,0.71416,0.44922,1.09444,1.64105,1.08157,0.000308302,0.000308302,0.000308302
11,2030.86,0.97303,1.16984,1.09835,0.7927,0.6402,0.65016,0.45027,1.13155,1.45648,1.08909,0.00028078,0.00028078,0.00028078
12,2207.7,0.92224,1.06264,1.05493,0.85567,0.65167,0.66736,0.46274,1.134,1.35875,1.0923,0.000253258,0.000253258,0.000253258
13,2386.12,0.9265,0.97611,1.07081,0.93993,0.55259,0.66455,0.45022,1.23356,1.44406,1.17242,0.000225736,0.000225736,0.000225736
14,2565.53,0.88498,0.92653,1.04661,0.78553,0.65593,0.6771,0.46124,1.16655,1.29209,1.12468,0.000198214,0.000198214,0.000198214
15,2741.58,0.86385,0.88103,1.03695,0.76025,0.67064,0.68345,0.46531,1.12109,1.27909,1.10715,0.000170692,0.000170692,0.000170692
16,2919.45,0.84502,0.85984,1.02259,0.80075,0.65442,0.71342,0.47191,1.07604,1.24008,1.09943,0.00014317,0.00014317,0.00014317
17,3099.52,0.84954,0.84572,1.0169,0.80277,0.66459,0.69692,0.46641,1.06145,1.22594,1.10965,0.000115648,0.000115648,0.000115648
18,3280.26,0.82975,0.81778,1.02107,0.76823,0.72825,0.71192,0.46505,1.07468,1.18858,1.12277,8.8126e-05,8.8126e-05,8.8126e-05
19,3459.53,0.83003,0.80816,1.01983,0.74218,0.68203,0.68573,0.46641,1.08184,1.18716,1.12058,6.0604e-05,6.0604e-05,6.0604e-05
20,3635.75,0.82541,0.80171,1.01073,0.72895,0.68246,0.68551,0.47017,1.08111,1.18465,1.11047,3.3082e-05,3.3082e-05,3.3082e-05
